Fast_SMA,Slow_SMA,Net_Profit,Return_Pct
28,210,217480.23,217.48
28,220,103502.05,103.5
28,230,99930.05,99.93
28,240,380825.1,380.83
28,250,200716.3,200.72
30,40,-207217.43,-207.22
30,50,-78371.09,-78.37
30,60,-62103.64,-62.1
30,70,-93252.49,-93.25
30,80,597103.04,597.1
30,90,419269.01,419.27
30,100,-34855.24,-34.86
30,110,-67512.82,-67.51
30,120,-77334.52,-77.33
30,130,-72138.8,-72.14
30,140,-83665.39,-83.67
30,150,-82165.9,-82.17
30,160,5587.7,5.59
30,170,-122470.02,-122.47
30,180,58811.94,58.81
30,190,-62405.62,-62.41
30,200,-328081.37,-328.08
30,210,221743.19,221.74
30,220,101095.08,101.1
30,230,99042.49,99.04
30,240,201152.14,201.15
30,250,194375.54,194.38
32,40,-306908.86,-306.91
32,50,-92152.54,-92.15
32,60,-99292.09,-99.29
32,70,-99352.76,-99.35
32,80,712823.28,712.82
32,90,401366.43,401.37
32,100,25389.35,25.39
32,110,-66015.21,-66.02
32,120,-79483.07,-79.48
32,130,-75963.42,-75.96
32,140,-91337.24,-91.34
32,150,-78915.92,-78.92
32,160,425732.46,425.73
32,170,-333970.9,-333.97
32,180,16443.9,16.44
32,190,368948.55,368.95
32,200,219859.79,219.86
32,210,203225.38,203.23
32,220,117049.55,117.05
32,230,86319.51,86.32
32,240,174893.31,174.89
32,250,154260.18,154.26
34,40,21536.29,21.54
34,50,-148606.32,-148.61
34,60,-98087.95,-98.09
34,70,-19960.3,-19.96
34,80,568702.98,568.7
34,90,518961.45,518.96
34,100,13913.76,13.91
34,110,-65558.18,-65.56
34,120,-87925.21,-87.93
34,130,-78682.64,-78.68
34,140,-75877.06,-75.88
34,150,-60994.08,-60.99
34,160,341302.5,341.3
34,170,-283403.57,-283.4
34,180,36787.03,36.79
34,190,280893.82,280.89
34,200,79673.78,79.67
34,210,207012.73,207.01
34,220,98785.61,98.79
34,230,59872.91,59.87
34,240,168117.17,168.12
34,250,224664.31,224.66
36,40,-15068.18,-15.07
36,50,12636.03,12.64
36,60,-98096.34,-98.1
36,70,-1592.83,-1.59
36,80,709734.74,709.73
36,90,561693.6,561.69
36,100,-22441.23,-22.44
36,110,-492.24,-0.49
36,120,-81930.07,-81.93
36,130,-77961.97,-77.96
36,140,-56423.91,-56.42
36,150,-66223.69,-66.22
36,160,279495.04,279.5
36,170,-56319.66,-56.32
36,180,58477.47,58.48
36,190,362155.63,362.16
36,200,53479.68,53.48
36,210,44298.55,44.3
36,220,-32370.52,-32.37
36,230,61958.12,61.96
36,240,246380.19,246.38
36,250,214475.14,214.48
38,40,125295.39,125.3
38,50,213966.76,213.97
38,60,-97646.4,-97.65
38,70,-22497.58,-22.5
38,80,558848.09,558.85
38,90,711158.49,711.16
38,100,2440.68,2.44
38,110,73526.77,73.53
38,120,-73564.92,-73.56
38,130,-73231.59,-73.23
38,140,-51986.26,-51.99
38,150,-81156.45,-81.16
38,160,262187.29,262.19
38,170,276188.33,276.19
38,180,74929.29,74.93
38,190,455000.81,455.0
38,200,75390.92,75.39
38,210,48876.79,48.88
38,220,39386.54,39.39
38,230,104743.07,104.74
38,240,130295.49,130.3
38,250,129895.21,129.9
40,50,-16381.36,-16.38
40,60,-88951.0,-88.95
40,70,-33829.93,-33.83
40,80,211472.94,211.47
40,90,532506.23,532.51
40,100,6130.23,6.13
40,110,71184.9,71.18
40,120,-66579.44,-66.58
40,130,-50211.16,-50.21
40,140,-70096.38,-70.1
40,150,-84831.94,-84.83
40,160,268563.38,268.56
40,170,340105.27,340.11
40,180,71739.26,71.74
40,190,50144.29,50.14
40,200,103339.46,103.34
40,210,78168.04,78.17
40,220,93723.15,93.72
40,230,122063.54,122.06
40,240,107722.99,107.72
40,250,97265.17,97.27
42,50,39161.8,39.16
42,60,-78489.16,-78.49
42,70,-33459.37,-33.46
42,80,714284.96,714.28
42,90,453712.2,453.71
42,100,29234.93,29.23
42,110,-7705.8,-7.71
42,120,-51027.09,-51.03
42,130,-64209.55,-64.21
42,140,-68134.59,-68.13
42,150,-68976.72,-68.98
42,160,284760.51,284.76
42,170,249635.67,249.64
42,180,56390.48,56.39
42,190,31953.53,31.95
42,200,100808.0,100.81
42,210,115023.15,115.02
42,220,110020.54,110.02
42,230,154307.89,154.31
42,240,64552.29,64.55
42,250,78580.4,78.58
44,50,92428.01,92.43
44,60,410365.92,410.37
44,70,-63629.97,-63.63
44,80,160597.87,160.6
44,90,640104.66,640.1
44,100,85317.15,85.32
44,110,26767.26,26.77
44,120,-66417.46,-66.42
44,130,-70116.82,-70.12
44,140,-82115.15,-82.12
44,150,-64524.97,-64.52
44,160,245011.74,245.01
44,170,363545.31,363.55
44,180,42407.37,42.41
44,190,123526.68,123.53
44,200,197356.21,197.36
44,210,121856.75,121.86
44,220,97356.15,97.36
44,230,90299.51,90.3
44,240,51680.35,51.68
44,250,51797.56,51.8
